year,background,cnt,country,female,age,diffgrade,fisced,misced,momwork,dadwork,hisei,homepos,pcgirls,private,metropolis,scoremath,pv1math,pv2math,pv3math,pv4math,pv5math,stweight,ggi,parliament90,parliament97,flp_90,gdppc,hdi,lgdppc,obs,norigin,stratum2003,hostregion,stratum2006,stratum2009,stratum2012
2009,Bolivia,ARG,Argentina,1,16.07999992,0,1,0,0,1,33,-0.492399991,0.286713004,0,0,446.496,420.480011,497.5899963,480.4599915,421.2600098,412.6900024,81.2940979,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,1,15.33,0,0,0,0,1,12.87,-0.57,0.56,0,0,296.08191,314.9322,291.5641,314.1533,261.1855,298.5745,130.7917,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3205,,,ARG0005
2012,Bolivia,ARG,Argentina,0,15.58,0,2,6,1,1,28.84,-1.22,0.333,0,1,376.07883,390.0997,361.279,353.4896,382.3103,393.2155,10.3734,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,16.17,1,5,5,1,1,21.24,-1.06,0.182,0,0,517.37805,515.976,505.0709,543.2388,547.9124,474.6923,19.5209,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,0,15.5,0,0,0,,1,20,-1.919100046,0.248649001,0,1,353.02399,319.5299988,416.8999939,291.4899902,404.4299927,332.769989,47.07720184,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,0,15.67,1,2,4,1,1,72.94,0.14,0.153,0,1,475.78284,495.2563,492.1405,445.4043,444.6253,501.4878,45.1614,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,,ARG0001
2012,Bolivia,ARG,Argentina,1,15.58,0,1,1,1,1,22.57,-1.38,0.541,0,0,511.61395,491.6732,536.8515,498.6836,505.694,525.1675,67.7969,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3206,,,ARG0006
2009,Bolivia,ARG,Argentina,1,15.5,1,4,4,1,1,34,-0.321200013,0.443884015,0,0,332.302,335.8900146,307.0599976,367.8200073,326.5400085,324.2000122,66.25279999,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3203,,3203,
2012,Bolivia,ARG,Argentina,1,16.08,0,4,0,0,1,39.04,-0.23,0.588,1,1,598.07605,555.2345,593.4024,612.8758,626.8967,601.9707,27.189,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,0,16.07999992,1,5,2,0,1,37,-2.085500002,0.286713004,0,0,422.34799,411.1300049,431.3800049,442.2900085,377.6400146,449.2999878,100.8703003,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
